stimuli,corr_resp,response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,key_resp.started,intro_2.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reactiontime.started,Fixation.started,Fixation.stopped,question.started,key_resp_2.started,question.stopped,reactiontime.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0027364000270608813,0.005425200011814013,2.0053817000007257,5.589942200022051,space,5.567650000011781,None,,,,,,,,,,,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
PPPPP,p,con,0,0,0,4,5.616682200023206,,,,,,,,,5.604442600015318,5.616682200023206,6.621195400017314,7.60442210000474,7.60442210000474,8.10433090000879,8.506402099999832,p,0.8968886000220664,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
VVEVV,e,incon,0,1,1,3,8.52205810000305,,,,,,,,,8.50777980001294,8.52205810000305,9.537687200005166,10.520507900015218,10.520507900015218,11.020341800001916,11.10625430001528,e,0.5713467999885324,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
RRERR,e,incon,0,2,2,1,11.12054140001419,,,,,,,,,11.107316100009484,11.12054140001419,12.120332100021187,13.12040860002162,13.12040860002162,13.620288500009337,13.805362200015225,e,0.6717350999824703,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
VVPVV,p,incon,0,3,3,0,13.820349600020563,,,,,,,,,13.80641530000139,13.820349600020563,14.820005400019,15.820164100005059,15.820164100005059,16.319944200018654,16.305794200015953,p,0.4832868000085,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
RRPRR,p,incon,0,4,4,2,16.319944200018654,,,,,,,,,16.30673470001784,16.319944200018654,17.31981220000307,18.319614700012607,18.319614700012607,18.81946510000853,19.371991799998796,p,1.0493395999947097,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
EEEEE,e,con,0,5,5,5,19.386214199999813,,,,,,,,,19.37296320000314,19.386214199999813,20.386177000007592,21.386058000003686,21.386058000003686,,21.821446000016294,e,0.4329083999909926,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
RRERR,e,incon,1,0,6,1,21.83612510000239,,,,,,,,,21.822411900007864,21.83612510000239,22.835897200013278,23.835629600012908,23.835629600012908,24.335599600017304,24.520536800002446,e,0.6707194999908097,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
PPPPP,p,con,1,1,7,4,24.53563560001203,,,,,,,,,24.521487600024557,24.53563560001203,25.535468400019454,26.535122600005707,26.535122600005707,27.035189700021874,27.503461600019364,p,0.96565530000953,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
RRPRR,p,incon,1,2,8,2,27.518402400019113,,,,,,,,,27.504476500005694,27.518402400019113,28.518218100012746,29.518042300012894,29.518042300012894,30.017952400026843,30.503429100004723,p,0.9823050000122748,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
VVEVV,e,incon,1,3,9,3,30.51799849999952,,,,,,,,,30.50445830001263,30.51799849999952,31.51798260002397,32.51776490002521,32.51776490002521,33.01751430000877,33.036693900008686,e,0.5042270999983884,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
EEEEE,e,con,1,4,10,5,33.05099240000709,,,,,,,,,33.03775790001964,33.05099240000709,34.05084780001198,35.05086050002137,35.05086050002137,35.55067220001365,36.00263820000691,e,0.9369100999902003,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
VVPVV,p,incon,1,5,11,0,36.01751340000192,,,,,,,,,36.003593000001274,36.01751340000192,37.017129900021246,38.01692720002029,38.01692720002029,38.51702810000279,38.95204570001806,p,0.9173213000176474,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
VVPVV,p,incon,2,0,12,0,38.967074200016214,,,,,,,,,38.95296740002232,38.967074200016214,39.96668040001532,40.966699600016,40.966699600016,41.466436100017745,41.652059300016845,p,0.6683577999938279,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
EEEEE,e,con,2,1,13,5,41.66645499999868,,,,,,,,,41.6531784000108,41.66645499999868,42.666410200006794,43.66615800000727,43.66615800000727,,44.134751900011906,e,0.46582630000193603,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
PPPPP,p,con,2,2,14,4,44.14981820000685,,,,,,,,,44.1356748000253,44.14981820000685,45.14957210002467,46.149342000018805,46.149342000018805,46.64909890000126,46.934372900024755,p,0.779114999982994,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
RRPRR,p,incon,2,3,15,2,46.949311700009275,,,,,,,,,46.93541730000288,46.949311700009275,47.949180499999784,48.94910920000984,48.94910920000984,49.44880240000202,49.784442000003764,p,0.8323160999862012,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
RRERR,e,incon,2,4,16,1,49.798997500009136,,,,,,,,,49.78536130001885,49.798997500009136,50.79867090002517,51.79850790000637,51.79850790000637,,52.266768300003605,e,0.45494709999184124,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
VVEVV,e,incon,2,5,17,3,52.28202380001312,,,,,,,,,52.2676899000071,52.28202380001312,53.281720300001325,54.28180810000049,54.28180810000049,,54.683347200014396,e,0.3975370000116527,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
VVPVV,p,incon,3,0,18,0,54.69804610000574,,,,,,,,,54.684355200006394,54.69804610000574,55.69805420000921,56.697901200008346,56.697901200008346,,57.09983800002374,p,0.3844247999950312,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
RRPRR,p,incon,3,1,19,2,57.11450429999968,,,,,,,,,57.10090180000407,57.11450429999968,58.11441530002048,59.11405650002416,59.11405650002416,59.61410510001588,59.966191400017124,p,0.8374382999900263,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
RRERR,e,incon,3,2,20,1,59.98091180002666,,,,,,,,,59.96722550000413,59.98091180002666,60.98069630001555,61.980358000000706,61.980358000000706,62.480572100001154,62.81533880002098,e,0.8261463999806438,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
EEEEE,e,con,3,3,21,5,62.830508900020504,,,,,,,,,62.81629860002431,62.830508900020504,63.83043280002312,64.83022760000313,64.83022760000313,65.33015480000176,65.43233950002468,e,0.5868538000213448,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
PPPPP,p,con,3,4,22,4,65.44683240001905,,,,,,,,,65.43341920000967,65.44683240001905,66.44661330000963,67.44660060000024,67.44660060000024,67.94640939999954,68.48172670000349,p,1.0227114000008442,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
VVEVV,e,incon,3,5,23,3,68.49647250000271,,,,,,,,,68.48264390000259,68.49647250000271,69.49629910002113,70.49619410000741,70.49619410000741,70.99604120000731,71.58141830001841,e,1.0824865999748,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
RRERR,e,incon,4,0,24,1,71.59575450001284,,,,,,,,,71.58248320000712,71.59575450001284,72.59583710000152,73.5956012000097,73.5956012000097,74.09544680002728,75.19786939999904,e,1.594598199997563,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
VVPVV,p,incon,4,1,25,0,75.21224650001386,,,,,,,,,75.19897080000374,75.21224650001386,76.21209440001985,77.21188120002626,77.21188120002626,77.71157460001996,78.0303015000245,p,0.8110642000101507,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
RRPRR,p,incon,4,2,26,2,78.04533380002249,,,,,,,,,78.03122270002495,78.04533380002249,79.0449175000249,80.04486720002024,80.04486720002024,80.54480100001092,80.84645820001606,p,0.7975365000020247,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
EEEEE,e,con,4,3,27,5,80.8614355000027,,,,,,,,,80.84754690001137,80.8614355000027,81.86117370001739,82.86114710001857,82.86114710001857,83.36103430000367,83.34620180001366,e,0.47038050001719967,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
PPPPP,p,con,4,4,28,4,83.36103430000367,,,,,,,,,83.34713940002257,83.36103430000367,84.36066990002291,85.36051920001046,85.36051920001046,,85.72889450000366,p,0.35633329997654073,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
VVEVV,e,incon,4,5,29,3,85.743987200025,,,,,,,,,85.7298297000234,85.743987200025,86.74398270001984,87.7440563000273,87.7440563000273,,88.1122373000253,e,0.35661099999560975,None,abi last day,001,2023-11-25_16h06.11.519,lastdayclasses,2023.2.3,60.02909009494057,2023-11-25 16h06.22.424438 +0530,
